ID Dataset;Area del Conocimiento;Categoría;Red Institucional;Tipo de Lugar de Trabajo;Provincia laboral;Rango de Edad;Género
2020-07642;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-08727;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-08749;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-08757;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-08815;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-08903;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-08932;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-08947;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10115;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10135;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10342;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10328;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10421;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10497;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10777;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;40 a 49;Mujeres
2020-10787;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-10806;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11102;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11098;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11732;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11236;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11243;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11975;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-11836;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Buenos Aires;Hasta 39;Mujeres
2020-04535;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;40 a 49;Mujeres
2020-04711;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;40 a 49;Mujeres
2020-05555;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;40 a 49;Mujeres
2020-05859;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;40 a 49;Mujeres
2020-05235;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-08730;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-08765;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-08854;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-08910;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-10173;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;40 a 49;Mujeres
2020-10270;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-10339;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-10351;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-10567;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;40 a 49;Mujeres
2020-10700;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-11168;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;40 a 49;Mujeres
2020-11289;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;40 a 49;Mujeres
2020-11408;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-11448;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-11916;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;40 a 49;Mujeres
2020-12060;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-11979;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Buenos Aires;Hasta 39;Mujeres
2020-02318;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Organismos de Ciencia y Técnica;Buenos Aires;40 a 49;Mujeres
2020-05600;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Organismos de Ciencia y Técnica;Buenos Aires;40 a 49;Mujeres
2020-07453;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Organismos de Ciencia y Técnica;Buenos Aires;Hasta 39;Mujeres
2020-10369;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Organismos de Ciencia y Técnica;Buenos Aires;Hasta 39;Mujeres
2020-10572;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Organismos de Ciencia y Técnica;Buenos Aires;Hasta 39;Mujeres
2020-11249;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Organismos de Ciencia y Técnica;Buenos Aires;Hasta 39;Mujeres
2020-11453;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Organismos de Ciencia y Técnica;Buenos Aires;Hasta 39;Mujeres
2020-10306;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Otros;Buenos Aires;Hasta 39;Mujeres
2020-07174;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-04468;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-04593;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-04809;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-04874;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-04951;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-05003;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-05333;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-05380;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-05813;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-06035;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-06047;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-06600;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-07081;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-07337;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-07440;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-07431;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-07434;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-07447;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-07598;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-07636;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-07804;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-08625;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-08607;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-08752;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-08880;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-08888;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-08953;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-08892;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-10140;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;40 a 49;Mujeres
2020-10290;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-10404;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-10449;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-10523;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-10520;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-10823;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-11115;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-11110;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-11651;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-12052;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Capital Federal;Hasta 39;Mujeres
2020-06734;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Capital Federal;40 a 49;Mujeres
2020-10336;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Capital Federal;Hasta 39;Mujeres
2020-10415;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Capital Federal;Hasta 39;Mujeres
2020-10517;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Pública;Capital Federal;Hasta 39;Mujeres
2020-10607;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Organismos de Ciencia y Técnica;Capital Federal;40 a 49;Mujeres
2020-11344;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Organismos de Ciencia y Técnica;Capital Federal;Hasta 39;Mujeres
2020-11404;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Organismos de Ciencia y Técnica;Capital Federal;Hasta 39;Mujeres
2020-03989;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Privada;Capital Federal;40 a 49;Mujeres
2020-04551;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Privada;Capital Federal;40 a 49;Mujeres
2020-09000;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Universidades de Gestión Privada;Capital Federal;40 a 49;Mujeres
2020-03889;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Otros;Capital Federal;40 a 49;Mujeres
2020-08770;KE - Ciencias Exactas y Naturales;Inv. Asistente;Universidades y otros Organismos de Ciencia y Técnica;Otros;Capital Federal;Hasta 39;Mujeres
2020-03000;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;40 a 49;Mujeres
2020-03625;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;40 a 49;Mujeres
2020-03813;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;40 a 49;Mujeres
2020-04686;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;Hasta 39;Mujeres
2020-05156;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;Hasta 39;Mujeres
2020-05153;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;Hasta 39;Mujeres
2020-05386;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;Hasta 39;Mujeres
2020-07098;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;Hasta 39;Mujeres
2020-07121;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;40 a 49;Mujeres
2020-07271;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;Hasta 39;Mujeres
2020-07325;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;Hasta 39;Mujeres
2020-07454;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;Hasta 39;Mujeres
2020-07451;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;Hasta 39;Mujeres
2020-07452;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;40 a 49;Mujeres
2020-07678;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;40 a 49;Mujeres
2020-07740;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;Hasta 39;Mujeres
2020-08783;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;Hasta 39;Mujeres
2020-08785;KE - Ciencias Exactas y Naturales;Inv. Asistente;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Institutos CONICET con contraparte en Universidades y OCyT o Exclusivos CONICET;Córdoba;40 a 49;Mujeres
